mean,var,skew,target
25.554836,80.60861,10.985444,0
34.186295,99.06207,8.520799,1
24.856123,74.13517,8.666976,1
35.841557,85.81919,8.572904,0
11.741287,34.251434,13.711695,1
20.45211,32.778442,9.574009,0
12.153002,42.42654,12.68535,1
31.945911,102.70777,8.6657095,1
10.1403475,21.910805,5.908158,0
13.518183,28.405083,12.271828,1
32.936153,89.40659,6.46768,0
7.3808756,31.966827,17.96504,0
19.26674,56.632423,11.194537,0
17.293743,41.37969,14.704752,1
19.436487,52.242027,7.7197995,0
18.40184,48.55353,12.008087,1
26.703613,52.493385,8.22155,1
18.481144,62.461906,13.812557,1
16.559872,64.98622,9.831005,0
15.355169,38.404716,14.475902,0
32.02305,66.77728,10.5619135,0
32.08743,58.803543,5.7974596,1
25.488379,83.28156,12.238014,1
28.833576,68.884575,11.12699,1
34.48112,73.953285,7.464259,1
16.895443,46.19248,18.959827,1
34.26515,66.20782,7.9889603,0
16.559872,64.98622,9.831005,0
24.732956,63.729958,12.307799,0
32.28095,77.25875,8.371431,0
35.146942,81.78147,6.0934343,0
11.490269,22.762577,6.039191,1
27.9972,53.761204,8.09769,1
28.535234,62.406414,10.77119,1
30.460123,83.2924,11.517118,0
23.707005,74.079056,10.39529,1
26.604582,71.79917,7.413786,1
15.537058,40.008263,10.893745,0
18.817448,67.70175,17.935312,0
58.027225,106.06006,5.489868,0
9.722318,36.076122,11.224056,1
22.150045,81.4419,15.943905,0
19.257874,53.731075,9.611975,1
15.551145,43.806076,10.494962,1
20.066265,73.107315,15.395085,0
32.360493,91.51289,8.267678,1
19.975136,47.897896,11.642576,0
17.458286,52.761242,13.201455,0
34.48112,73.953285,7.464259,0
21.816479,61.67894,8.748626,0
36.83566,90.79065,8.025397,1
13.164149,39.544937,19.182638,1
20.405506,59.146,10.954132,0
22.136965,77.150604,15.495949,0
13.508958,46.22216,22.575903,1
20.238228,44.692116,13.195753,0
11.839042,34.365215,17.905376,1
40.19304,81.14559,8.090075,1
36.853027,83.66881,8.692462,1
19.754908,56.051586,11.380895,1
22.120077,62.212887,9.516036,0
14.699505,63.3867,14.053317,0
11.416846,49.97843,11.723297,1
14.4491005,59.610416,11.834407,1
48.152954,102.8302,7.0131207,0
17.44291,48.253223,9.4933,0
10.702532,38.07996,9.889124,0
19.060719,51.8442,8.736806,0
24.32999,75.24352,13.042946,0
22.505602,49.00462,7.2648177,0
58.15813,106.72973,5.5029006,1
6.232656,27.499392,15.929189,0
25.360857,75.257675,7.400445,0
18.98109,70.62745,15.652987,1
15.199778,45.338413,16.249516,1
12.516846,23.03765,4.879421,1
8.83091,44.606224,18.311499,1
16.09707,55.92264,14.814971,0
21.625696,63.98195,9.749311,0
11.750948,52.165,15.453328,0
19.923717,50.53162,14.388355,1
22.501333,89.48832,13.571405,1
32.321293,98.15686,8.194405,0
12.513125,39.995373,13.957284,1
18.705992,61.044224,11.848341,1
19.100372,62.78301,11.677654,0
12.936931,26.482391,6.4361086,1
39.71463,78.035835,8.165819,0
18.456934,46.32921,11.905594,0
17.20965,62.996113,15.678007,0
17.983168,46.37536,12.774388,1
17.001053,32.119884,5.797452,0
23.810291,68.54749,10.638125,0
10.723995,53.4568,19.687975,1
